company_id,churn,motivo_abandono,risk_score
1,0,Permanece,56.67
2,0,Permanece,36.67
3,0,Permanece,56.97
4,0,Permanece,50.6
5,0,Permanece,59.43
6,0,Permanece,50.37
7,1,Precio,77.03
8,0,Permanece,17.56
9,0,Permanece,15.76
10,0,Permanece,25.22
11,0,Permanece,11.24
12,0,Permanece,27.3
13,0,Permanece,17.92
14,0,Permanece,45.51
15,0,Permanece,39.02
16,0,Permanece,20.43
17,0,Permanece,48.64
18,0,Permanece,22.67
19,0,Permanece,37.05
20,0,Permanece,3.69
21,0,Permanece,27.44
22,1,Competencia,91.36
23,0,Permanece,24.81
24,0,Permanece,50.73
25,0,Permanece,31.12
26,0,Permanece,19.01
27,0,Permanece,40.39
28,0,Permanece,4.76
29,0,Permanece,25.87
30,0,Permanece,43.32
31,0,Permanece,2.39
32,0,Permanece,43.78
33,0,Permanece,30.21
34,0,Permanece,5.17
35,0,Permanece,41.35
36,0,Permanece,47.09
37,0,Permanece,16.45
38,1,Competencia,97.84
39,1,Precio,99.18
40,0,Permanece,10.42
41,0,Permanece,19.54
42,0,Permanece,8.83
43,0,Permanece,37.53
44,0,Permanece,29.48
45,1,Cambio tecnológico,71.59
46,0,Permanece,46.3
47,0,Permanece,21.14
48,1,Fusión empresarial,91.9
49,0,Permanece,29.25
50,0,Permanece,41.2
51,0,Permanece,45.99
52,0,Permanece,12.72
53,0,Permanece,53.43
54,0,Permanece,19.3
55,0,Permanece,18.05
56,0,Permanece,31.2
57,0,Permanece,25.36
58,0,Permanece,31.16
59,1,Competencia,93.56
60,0,Permanece,11.37
61,0,Permanece,35.9
62,0,Permanece,52.34
63,0,Permanece,25.23
64,0,Permanece,57.28
65,1,Precio,75.52
66,0,Permanece,56.27
67,0,Permanece,8.95
68,0,Permanece,40.06
69,0,Permanece,17.5
70,0,Permanece,42.99
71,0,Permanece,0.01
72,1,Cambio tecnológico,88.92
73,0,Permanece,30.46
74,0,Permanece,46.07
75,0,Permanece,23.87
76,0,Permanece,12.5
77,0,Permanece,22.17
78,0,Permanece,13.07
79,0,Permanece,17.49
80,0,Permanece,24.91
81,0,Permanece,47.59
82,0,Permanece,48.81
83,0,Permanece,52.77
84,0,Permanece,14.92
85,1,Precio,71.84
86,1,Cambio tecnológico,99.75
87,0,Permanece,0.82
88,0,Permanece,37.29
89,0,Permanece,53.19
90,0,Permanece,8.62
91,0,Permanece,50.29
92,1,Fusión empresarial,75.08
93,0,Permanece,36.7
94,0,Permanece,59.58
95,0,Permanece,42.73
96,0,Permanece,26.97
97,0,Permanece,53.71
98,0,Permanece,33.88
99,0,Permanece,16.14
100,0,Permanece,58.48
101,0,Permanece,31.49
102,0,Permanece,29.63
103,0,Permanece,30.66
104,0,Permanece,51.59
105,0,Permanece,36.14
106,0,Permanece,38.83
107,1,Fusión empresarial,82.22
108,0,Permanece,19.08
109,1,Calidad de servicio,94.77
110,0,Permanece,43.05
111,0,Permanece,27.49
112,0,Permanece,4.32
113,0,Permanece,3.1
114,0,Permanece,1.19
115,0,Permanece,48.95
116,0,Permanece,54.97
117,0,Permanece,14.3
118,0,Permanece,12.48
119,0,Permanece,58.88
120,1,Calidad de servicio,87.12
121,1,Precio,81.56
122,0,Permanece,2.3
123,0,Permanece,53.82
124,0,Permanece,19.62
125,1,Fusión empresarial,74.23
126,1,Competencia,89.83
127,0,Permanece,57.31
128,0,Permanece,35.75
129,0,Permanece,14.57
130,0,Permanece,38.67
131,0,Permanece,23.38
132,0,Permanece,56.11
133,0,Permanece,55.69
134,1,Competencia,75.83
135,1,Fusión empresarial,74.61
136,0,Permanece,25.09
137,0,Permanece,5.45
138,0,Permanece,27.17
139,0,Permanece,47.91
140,0,Permanece,59.55
141,0,Permanece,47.98
142,0,Permanece,4.12
143,1,Competencia,78.9
144,0,Permanece,5.24
145,0,Permanece,30.78
146,0,Permanece,37.4
147,0,Permanece,57.22
148,0,Permanece,39.72
149,0,Permanece,36.72
150,1,Fusión empresarial,94.22
151,0,Permanece,45.39
152,0,Permanece,38.86
153,0,Permanece,22.78
154,0,Permanece,2.15
155,0,Permanece,27.35
156,0,Permanece,36.77
157,0,Permanece,43.58
158,1,Calidad de servicio,77.63
159,0,Permanece,27.39
160,0,Permanece,34.2
161,0,Permanece,15.02
162,0,Permanece,47.57
163,0,Permanece,23.51
164,0,Permanece,31.73
165,0,Permanece,45.45
166,0,Permanece,2.04
167,0,Permanece,58.3
168,1,Competencia,93.05
169,0,Permanece,52.48
170,0,Permanece,53.82
171,0,Permanece,40.72
172,0,Permanece,32.18
173,1,Precio,72.46
174,0,Permanece,55.06
175,1,Precio,75.37
176,0,Permanece,0.97
177,0,Permanece,43.35
