company_id,ruc,razon_social,sector,region,empleados,segmento,fecha_alta,ejecutivo_comercial,nps,csat
1,20332181960,Constructora Sur EIRL,Construcción,Chiclayo,7398,SMB,17/05/2025,Ejecutivo_2,52,4.22
2,20838637940,Ingeniería Andes SAC,Construcción,Arequipa,6176,Enterprise,10/10/2016,Ejecutivo_3,65,4.76
3,20235116155,Express Pacífico EIRL,Transporte,Ica,4178,Enterprise,11/11/2018,Ejecutivo_4,62,4.37
4,20816184959,Comercial Sur EIRL,Retail,Cajamarca,1551,Enterprise,12/01/2017,Ejecutivo_5,96,4.42
5,20413164752,Constructora Sur SAC,Construcción,Piura,6709,Mid-Market,13/12/2018,Ejecutivo_6,78,4.88
6,20192832764,Capital Sur EIRL,Finanzas,Trujillo,2905,Enterprise,1/12/2024,Ejecutivo_7,99,3.99
7,20030564139,Educativa Sur EIRL,Educación,Trujillo,6784,SMB,27/05/2020,Ejecutivo_8,33,1.41
8,20672423884,Capital Sur EIRL,Finanzas,Cajamarca,240,Enterprise,18/03/2023,Ejecutivo_9,97,4.16
9,20532871012,Agroindustrial Norte EIRL,Agroindustria,Ica,7973,SMB,18/04/2019,Ejecutivo_10,75,4.94
10,20669784801,Express Norte SAC,Transporte,Ica,7574,Enterprise,19/08/2023,Ejecutivo_11,78,4.71
11,20146270482,Academia Capital EIRL,Educación,Huancayo,8786,SMB,10/08/2021,Ejecutivo_12,50,3.73
12,20252880957,Obras Capital SAC,Construcción,Ica,4806,Mid-Market,8/06/2025,Ejecutivo_13,91,4.8
13,20303911718,Obras Capital EIRL,Construcción,Piura,7971,SMB,6/01/2018,Ejecutivo_14,85,4.7
14,20824896383,Logística Sur EIRL,Transporte,Piura,6976,Mid-Market,29/09/2016,Ejecutivo_15,50,4.62
15,20787133150,Distribuidora Sur EIRL,Retail,Ica,4159,SMB,17/04/2020,Ejecutivo_16,87,4.4
16,20010310518,Educativa Norte SAC,Educación,Ica,853,Mid-Market,22/11/2017,Ejecutivo_17,74,3.76
17,20997376311,Distribuidora Andes SAC,Retail,Huancayo,6142,Enterprise,18/01/2016,Ejecutivo_18,73,4
18,20701065133,Comunicaciones Inca EIRL,Telecomunicaciones,Lima,8572,SMB,10/12/2024,Ejecutivo_19,75,3.63
19,20247317810,Academia Andes EIRL,Educación,Cajamarca,3615,Enterprise,30/08/2019,Ejecutivo_20,94,4.05
20,20267736026,Educativa Perú SAC,Educación,Tacna,4880,SMB,8/06/2024,Ejecutivo_21,67,4
21,20468723430,Comunicaciones Capital EIRL,Telecomunicaciones,Ica,2498,Mid-Market,8/08/2020,Ejecutivo_22,91,3.67
22,20009788208,Educativa Sur EIRL,Educación,Trujillo,5398,Enterprise,11/10/2022,Ejecutivo_23,34,1.15
23,20361939909,Transportes Norte SAC,Transporte,Piura,6787,Mid-Market,26/07/2020,Ejecutivo_24,91,3.91
24,20435346247,Networks Norte EIRL,Telecomunicaciones,Trujillo,2896,Enterprise,11/04/2016,Ejecutivo_25,76,4.86
25,20183842513,Constructora Inca SAC,Construcción,Piura,624,Mid-Market,12/07/2016,Ejecutivo_26,99,4.88
26,20980841241,Retail Inca EIRL,Retail,Huancayo,5092,Enterprise,11/01/2020,Ejecutivo_27,80,3.65
27,20935348740,Ingeniería Pacífico EIRL,Construcción,Piura,2802,Mid-Market,5/06/2020,Ejecutivo_28,54,3.64
28,20524278680,Comunicaciones Perú SAC,Telecomunicaciones,Cajamarca,8137,SMB,28/12/2021,Ejecutivo_29,64,4.88
29,20598262045,Ingeniería Norte SAC,Construcción,Trujillo,1792,SMB,13/11/2022,Ejecutivo_30,79,4.13
