factura_id,company_id,periodo,monto_facturado,dias_mora,deuda_actual
1,1,1,16194.14,6,29597.12
2,1,2,33125.29,6,41344.47
3,1,3,53558.1,2,39395.49
4,1,4,24458.31,9,20783.7
5,1,5,19025.68,1,23210.6
6,1,6,18263.83,0,32592.31
7,1,7,57731.65,1,24408.75
8,1,8,46170.75,9,49089.18
9,1,9,9190.71,6,6740.7
10,1,10,49797.81,9,17608.21
11,1,11,27706.21,3,46888.73
12,1,12,33984.12,8,11951.95
13,1,13,54308.23,1,13717.3
14,1,14,48296.17,8,2440.15
15,1,15,39820.35,9,40429.5
16,1,16,51868.29,3,24845.22
17,1,17,18060.36,1,46682.01
18,1,18,57579.37,8,45619.54
19,1,19,3302.02,8,17472.97
20,1,20,30947.97,4,819.0
21,1,21,25866.24,8,29273.98
22,1,22,52492.35,5,43789.51
23,1,23,57359.26,9,21501.63
24,1,24,21576.32,6,6834.39
25,2,1,6890.85,4,41113.61
26,2,2,18270.97,9,41987.34
27,2,3,38636.18,6,3531.81
28,2,4,31504.48,8,3459.35
29,2,5,21334.46,1,8510.75
30,2,6,46802.17,4,14429.23
31,2,7,7204.54,4,26616.07
32,2,8,22439.61,7,47977.13
33,2,9,20628.68,7,7800.13
34,2,10,47932.77,7,17845.16
35,2,11,22321.56,4,41627.27
36,2,12,50599.55,1,34397.21
37,2,13,43518.31,6,2966.18
38,2,14,57806.85,9,27351.95
39,2,15,57280.73,0,16055.84
40,2,16,24841.01,2,16498.44
41,2,17,55893.36,3,1472.53
42,2,18,13973.3,4,24547.03
43,2,19,39240.45,7,8429.14
44,2,20,43557.51,9,13695.26
45,2,21,44576.19,2,21960.77
46,2,22,56644.74,6,1841.66
47,2,23,50696.04,2,18118.09
48,2,24,51641.0,9,45743.88
49,3,1,19210.34,2,28721.54
50,3,2,42186.48,1,43897.74
51,3,3,15028.44,2,38979.86
52,3,4,45037.88,5,39815.01
53,3,5,39469.01,1,30532.71
54,3,6,36334.11,7,34526.81
55,3,7,52517.04,3,17738.45
56,3,8,31063.88,2,41259.89
57,3,9,34723.05,2,17480.33
58,3,10,39482.82,7,46191.14
59,3,11,45291.05,8,10815.97
60,3,12,31792.62,5,40581.19
61,3,13,11465.89,9,43680.89
62,3,14,14295.79,2,48331.2
63,3,15,43109.87,4,24158.5
64,3,16,14782.33,3,49142.62
65,3,17,52972.12,7,13474.04
66,3,18,4686.96,7,46486.04
67,3,19,46921.18,7,562.08
68,3,20,32505.12,1,444.85
69,3,21,4747.57,0,20813.82
70,3,22,58383.35,2,46072.35
71,3,23,21378.67,9,31601.42
72,3,24,41240.99,6,25115.81
73,4,1,8395.35,4,11937.68
74,4,2,57546.95,3,31248.25
75,4,3,49942.86,9,10998.79
76,4,4,50898.41,4,21997.01
77,4,5,54469.59,3,3350.21
78,4,6,44559.36,0,41880.28
79,4,7,57642.4,8,26009.19
80,4,8,51871.61,2,28443.13
81,4,9,47327.0,2,2274.42
82,4,10,18617.92,0,22433.13
83,4,11,26385.22,3,3214.14
84,4,12,13343.82,3,28328.47
85,4,13,47515.67,2,2041.99
86,4,14,42617.39,0,11316.13
87,4,15,50170.58,1,22732.58
88,4,16,42634.28,7,48061.07
89,4,17,24797.37,8,13200.78
90,4,18,15087.18,1,47020.82
91,4,19,31703.83,9,36932.36
92,4,20,42257.71,2,44472.66
93,4,21,56821.5,0,18129.01
94,4,22,23034.71,6,35865.21
95,4,23,28635.76,7,13734.6
96,4,24,12608.68,8,37728.7
97,5,1,21116.94,9,33387.53
98,5,2,7827.54,4,35202.71
99,5,3,28813.08,2,48334.46
100,5,4,22444.1,2,46014.29
101,5,5,40247.1,5,15280.31
102,5,6,44079.4,2,49940.8
103,5,7,44077.06,1,23644.58
104,5,8,49733.24,9,13958.88
105,5,9,25948.75,2,7887.75
106,5,10,39122.85,6,49617.75
107,5,11,11109.67,4,2919.35
108,5,12,35161.27,2,5509.6
109,5,13,41947.13,4,31493.85
110,5,14,11372.39,2,39719.8
111,5,15,57321.02,1,9926.7
112,5,16,15149.65,5,41818.84
113,5,17,47683.54,2,9485.43
114,5,18,41516.45,4,13322.2
115,5,19,24936.6,2,37034.49
116,5,20,38810.7,1,20232.26
117,5,21,51089.51,3,42793.36
118,5,22,15438.16,4,42362.86
119,5,23,55894.53,4,34234.1
120,5,24,7830.9,9,27898.83
121,6,1,45355.75,8,6346.41
122,6,2,35104.96,6,37065.43
123,6,3,30468.47,2,19087.13
124,6,4,31819.67,2,31546.26
125,6,5,48263.36,4,11711.7
126,6,6,55324.87,2,35660.68
127,6,7,6215.24,9,47390.36
128,6,8,56564.29,3,33022.55
129,6,9,17637.38,1,5942.33
130,6,10,1589.24,5,11177.56
131,6,11,14403.33,9,16676.39
132,6,12,24101.86,0,48930.71
133,6,13,51460.29,1,17132.2
134,6,14,28340.42,7,47189.59
135,6,15,28285.22,7,1704.7
136,6,16,17991.42,4,13519.33
137,6,17,20136.21,9,48898.19
138,6,18,57149.56,6,18566.88
139,6,19,51051.19,4,46554.32
140,6,20,48884.71,0,45224.54
141,6,21,58668.64,7,22883.28
142,6,22,37013.53,9,25093.02
143,6,23,57801.98,1,30603.19
144,6,24,11966.93,8,36868.93
145,7,1,36020.05,4,31688.96
146,7,2,42005.8,33,35790.44
147,7,3,24321.53,97,42191.44
148,7,4,16610.46,3,44448.84
149,7,5,59511.15,0,49395.69
150,7,6,34101.4,77,21623.86
151,7,7,9719.03,56,21587.9
152,7,8,53893.49,0,42000.73
153,7,9,21558.6,1,49088.28
154,7,10,34114.01,109,17365.1
155,7,11,27940.16,5,28578.07
156,7,12,45144.6,54,38399.76
157,7,13,3808.99,2,16505.9
158,7,14,23438.55,46,8186.24
159,7,15,53420.46,9,16811.42
160,7,16,52258.61,62,27684.42
161,7,17,31963.28,108,17721.17
162,7,18,43401.07,8,39057.25
163,7,19,42706.58,108,5224.43
164,7,20,17258.32,4,17059.27
165,7,21,39081.26,6,44201.37
166,7,22,48042.73,1,48827.8
167,7,23,24602.4,80,48885.0
168,7,24,41155.66,110,33929.3
169,8,1,2033.04,3,22469.91
170,8,2,35077.5,4,4004.76
171,8,3,41500.29,8,39516.68
172,8,4,38657.72,0,14720.43
173,8,5,27062.75,1,31393.08
174,8,6,24165.18,8,36495.86
175,8,7,21968.11,8,43771.45
176,8,8,16392.19,6,49611.92
177,8,9,36207.11,4,30209.83
178,8,10,20984.05,5,44392.31
179,8,11,27496.87,9,18646.01
180,8,12,51282.57,6,17852.44
181,8,13,45044.98,1,3613.99
182,8,14,43965.38,0,8580.55
183,8,15,45957.63,3,11618.23
184,8,16,4691.74,0,11193.24
185,8,17,49222.05,2,15781.62
186,8,18,48596.06,7,44395.51
187,8,19,16766.95,7,28417.79
188,8,20,31102.73,6,22193.99
189,8,21,51604.83,4,36780.01
190,8,22,8631.87,4,14979.54
191,8,23,43249.26,9,22877.26
192,8,24,46312.27,3,6674.66
193,9,1,55220.91,0,28315.65
