servicio_id,company_id,tipo_servicio,plazo_meses,monto_mensual,sla_contratado,renovacion_automatica
1,1,MPLS,12,5758.19,99.9,Si
2,1,Data Center,24,13170.49,99.9,Si
3,2,SD-WAN,24,20936.37,99.95,Si
4,2,Internet Dedicado,24,16989.54,99.5,No
5,3,Ciberseguridad Gestionada,12,14287.12,99.95,Si
6,3,Ciberseguridad Gestionada,24,18708.63,99.95,Si
7,3,SD-WAN,24,887.79,99.5,Si
8,3,Internet Dedicado,36,10781.72,99.9,Si
9,4,Cloud,36,2143.56,99.5,Si
10,4,Cloud,36,5068.19,99.5,Si
11,5,Cloud,36,11193.14,99.95,No
12,5,Cloud,24,15817.27,99.9,No
13,5,Voz IP,36,8946.76,99.9,Si
14,5,Ciberseguridad Gestionada,12,6908.66,99.95,Si
15,5,MPLS,24,9045.43,99.95,Si
16,6,SD-WAN,24,9603.12,99.5,Si
17,6,Internet Dedicado,24,18302.46,99.9,Si
18,7,Data Center,12,24856.5,99.5,No
19,7,MPLS,12,8027.39,99.95,No
20,7,Data Center,12,3888.05,99.5,No
21,8,Ciberseguridad Gestionada,36,14571.63,99.95,Si
22,9,Ciberseguridad Gestionada,12,24934.95,99.95,Si
23,9,Ciberseguridad Gestionada,12,24350.86,99.95,No
24,9,Data Center,24,1937.19,99.5,No
25,9,Voz IP,12,9812.81,99.5,Si
26,10,Internet Dedicado,36,11565.56,99.5,Si
27,10,Cloud,12,16706.8,99.95,No
28,10,Data Center,36,18173.19,99.5,Si
29,10,Cloud,24,8097.72,99.9,No
30,10,SD-WAN,12,4381.94,99.9,Si
31,11,MPLS,36,18262.41,99.9,No
32,11,Data Center,24,7145.11,99.5,Si
33,11,MPLS,24,9826.57,99.9,Si
34,11,Cloud,36,17915.74,99.95,No
35,11,Cloud,24,8211.46,99.5,Si
36,12,Voz IP,12,10064.26,99.5,Si
37,13,Ciberseguridad Gestionada,12,18007.65,99.9,Si
38,13,Voz IP,12,2514.16,99.9,No
39,14,Data Center,12,19648.5,99.95,No
40,14,SD-WAN,24,5366.63,99.95,Si
41,15,Cloud,24,21266.51,99.9,Si
42,15,Ciberseguridad Gestionada,36,20077.12,99.5,Si
43,15,SD-WAN,12,22874.64,99.95,No
44,15,Cloud,12,23277.96,99.5,No
45,15,SD-WAN,24,2879.23,99.95,Si
46,16,Ciberseguridad Gestionada,24,17997.46,99.5,No
47,16,Ciberseguridad Gestionada,36,13704.28,99.95,Si
48,16,Data Center,36,5140.91,99.5,Si
49,16,Voz IP,36,17171.36,99.9,Si
50,17,Ciberseguridad Gestionada,36,12290.18,99.9,Si
51,17,Internet Dedicado,36,6542.44,99.5,Si
52,18,Voz IP,24,1286.98,99.9,Si
53,18,MPLS,12,21712.25,99.5,Si
54,18,Ciberseguridad Gestionada,24,21922.73,99.95,Si
55,18,Voz IP,12,23028.92,99.95,No
56,18,Voz IP,24,21439.57,99.9,Si
57,19,Data Center,12,20167.6,99.95,No
58,19,SD-WAN,36,20453.28,99.95,Si
59,19,Data Center,36,11551.76,99.95,Si
60,19,Ciberseguridad Gestionada,12,4132.8,99.95,Si
61,20,SD-WAN,24,6862.66,99.5,No
62,20,MPLS,36,17756.71,99.95,Si
63,20,Internet Dedicado,12,15463.6,99.95,Si
64,20,MPLS,12,19623.29,99.95,Si
65,20,Voz IP,12,13724.13,99.9,No
66,21,MPLS,36,20182.5,99.5,Si
67,21,Cloud,36,21020.86,99.5,No
68,22,Voz IP,36,23296.94,99.5,No
69,22,SD-WAN,24,21802.34,99.5,Si
70,22,SD-WAN,24,21208.92,99.9,Si
71,22,Cloud,12,15659.32,99.5,No
72,23,Cloud,36,7551.64,99.5,Si
73,23,SD-WAN,36,13910.55,99.9,Si
74,23,Data Center,24,8448.35,99.9,Si
75,24,Ciberseguridad Gestionada,12,20096.6,99.95,Si
76,24,Cloud,24,19502.7,99.5,No
77,24,SD-WAN,36,20487.58,99.95,Si
78,24,Ciberseguridad Gestionada,36,16998.61,99.5,Si
79,25,SD-WAN,36,5566.59,99.9,No
80,25,Ciberseguridad Gestionada,24,2526.94,99.95,Si
81,25,Ciberseguridad Gestionada,24,14875.2,99.9,Si
82,25,Voz IP,24,5563.09,99.95,No
83,25,Ciberseguridad Gestionada,12,12931.59,99.9,Si
84,26,MPLS,12,10008.11,99.5,Si
85,26,Internet Dedicado,12,19465.76,99.9,Si
86,26,Internet Dedicado,12,15349.87,99.5,No
87,26,Voz IP,12,14886.94,99.95,Si
88,27,SD-WAN,24,21883.87,99.95,Si
89,27,Internet Dedicado,24,4814.08,99.5,No
90,27,MPLS,12,13228.88,99.95,Si
91,28,Voz IP,36,4790.75,99.9,Si
92,28,SD-WAN,36,1287.46,99.9,No
93,29,MPLS,36,13028.6,99.95,Si
94,29,Internet Dedicado,36,5331.52,99.95,No
95,30,Internet Dedicado,24,11991.41,99.5,Si
96,31,Voz IP,24,17474.76,99.5,No
97,31,Data Center,24,8817.21,99.5,Si
98,31,Data Center,24,20086.64,99.9,Si
99,31,Voz IP,36,21682.75,99.95,No
100,31,Voz IP,12,14202.18,99.9,No
101,32,Internet Dedicado,36,15623.68,99.5,Si
102,32,MPLS,36,11322.34,99.9,No
103,32,Internet Dedicado,36,19000.2,99.5,Si
104,32,Data Center,36,3060.7,99.95,No
105,33,MPLS,12,16671.62,99.9,No
106,33,SD-WAN,12,6776.14,99.9,Si
107,33,Cloud,36,11634.52,99.95,Si
108,33,Cloud,36,24616.74,99.5,Si
109,33,Data Center,36,7471.51,99.9,Si
110,34,Cloud,12,3543.8,99.5,No
111,34,Data Center,12,20629.67,99.95,Si
112,34,Ciberseguridad Gestionada,36,24386.89,99.95,No
113,34,SD-WAN,12,3898.74,99.95,No
114,35,Data Center,24,18053.08,99.9,Si
115,35,SD-WAN,36,24791.65,99.95,Si
116,35,Data Center,12,14394.64,99.5,Si
117,35,SD-WAN,24,18167.7,99.95,Si
118,35,Internet Dedicado,12,12713.2,99.95,No
119,36,Cloud,36,2406.48,99.5,Si
120,37,Voz IP,36,20400.13,99.5,Si
121,38,Voz IP,36,722.43,99.9,No
122,38,MPLS,36,18028.3,99.95,Si
123,39,Ciberseguridad Gestionada,24,7921.02,99.5,Si
124,39,SD-WAN,24,14189.09,99.9,No
125,40,SD-WAN,12,8644.34,99.9,Si
126,40,Cloud,24,10229.97,99.9,Si
127,40,Cloud,36,1005.98,99.95,Si
128,40,MPLS,24,22675.03,99.5,Si
129,41,Ciberseguridad Gestionada,12,20991.71,99.5,Si
130,41,Data Center,24,4144.64,99.9,No
131,41,Data Center,24,4821.89,99.9,No
132,42,SD-WAN,12,23256.0,99.5,Si
133,42,SD-WAN,24,16731.6,99.9,Si
134,42,Cloud,24,8933.84,99.95,Si
135,42,Data Center,24,9112.04,99.9,No
136,43,SD-WAN,12,24433.93,99.9,No
137,43,SD-WAN,24,10087.7,99.5,No
138,44,Internet Dedicado,12,13112.25,99.5,Si
139,45,MPLS,12,24061.87,99.5,No
140,45,Voz IP,36,20439.62,99.5,Si
141,45,MPLS,12,22980.96,99.5,Si
142,46,Ciberseguridad Gestionada,12,4647.01,99.5,Si
