ticket_id,company_id,severidad,categoria,tiempo_resolucion_horas,escalado
1,1,Media,Latencia,26,0
2,1,Baja,Facturación,12,0
3,1,Baja,Seguridad,16,0
4,1,Media,Facturación,43,0
5,1,Media,Equipamiento,17,0
6,1,Media,Equipamiento,15,1
7,1,Baja,Seguridad,29,0
8,1,Media,Configuración,38,0
9,1,Media,Facturación,14,0
10,1,Media,Configuración,18,0
11,1,Baja,Configuración,29,0
12,1,Media,Seguridad,34,0
13,1,Media,Latencia,42,0
14,1,Critica,Latencia,43,1
15,1,Alta,Configuración,29,1
16,1,Media,Equipamiento,19,0
17,1,Media,Configuración,47,0
18,1,Baja,Conectividad,36,0
19,1,Baja,Seguridad,16,0
20,1,Baja,Latencia,44,0
21,1,Media,Equipamiento,27,0
22,2,Baja,Configuración,40,0
23,2,Baja,Configuración,3,0
24,2,Baja,Equipamiento,45,1
25,2,Media,Equipamiento,14,0
26,2,Media,Seguridad,43,0
27,2,Media,Conectividad,35,0
28,2,Media,Conectividad,21,1
29,2,Baja,Equipamiento,30,0
30,2,Baja,Seguridad,34,0
31,2,Media,Conectividad,24,0
32,2,Media,Configuración,12,0
33,2,Baja,Latencia,35,0
34,2,Baja,Conectividad,4,0
35,2,Baja,Latencia,31,1
36,2,Baja,Latencia,10,0
37,2,Baja,Configuración,17,0
38,3,Baja,Seguridad,24,0
39,3,Baja,Facturación,45,0
40,3,Baja,Conectividad,11,0
41,3,Baja,Configuración,36,0
42,3,Alta,Equipamiento,9,0
43,3,Baja,Configuración,32,0
44,3,Baja,Conectividad,31,0
45,3,Baja,Equipamiento,18,0
46,3,Baja,Configuración,23,0
47,3,Baja,Seguridad,13,0
48,3,Alta,Equipamiento,27,0
49,3,Baja,Conectividad,6,0
50,3,Baja,Latencia,24,0
51,3,Media,Seguridad,18,0
52,3,Baja,Latencia,47,0
53,3,Baja,Equipamiento,46,0
54,3,Baja,Conectividad,34,0
55,3,Media,Conectividad,33,0
56,3,Media,Configuración,3,0
57,3,Baja,Conectividad,4,0
58,3,Baja,Configuración,10,0
59,4,Media,Latencia,25,0
60,4,Baja,Seguridad,46,0
61,4,Baja,Latencia,14,0
62,4,Critica,Latencia,33,0
63,4,Baja,Seguridad,26,0
64,4,Media,Conectividad,5,0
65,4,Baja,Facturación,22,0
66,4,Media,Facturación,43,0
67,4,Media,Seguridad,43,0
68,5,Alta,Equipamiento,4,1
69,5,Baja,Seguridad,46,0
70,5,Baja,Latencia,12,0
71,5,Baja,Configuración,34,0
72,5,Media,Seguridad,8,0
73,5,Baja,Conectividad,22,0
74,5,Media,Configuración,26,0
75,5,Baja,Conectividad,11,0
76,5,Media,Latencia,2,0
77,5,Critica,Seguridad,9,0
78,5,Media,Configuración,42,0
79,5,Media,Facturación,40,0
80,5,Baja,Equipamiento,47,0
81,5,Media,Equipamiento,25,0
82,5,Media,Conectividad,1,0
83,5,Baja,Seguridad,13,0
84,5,Baja,Latencia,10,0
85,5,Baja,Facturación,17,0
86,5,Media,Equipamiento,7,0
87,5,Baja,Conectividad,28,0
88,6,Alta,Configuración,10,0
89,6,Media,Seguridad,15,0
90,6,Media,Equipamiento,29,0
91,6,Media,Seguridad,16,0
92,6,Baja,Latencia,21,0
93,6,Media,Configuración,43,0
94,6,Media,Facturación,44,0
95,6,Baja,Equipamiento,38,0
96,6,Critica,Seguridad,11,0
97,6,Media,Conectividad,45,0
98,6,Baja,Conectividad,42,0
99,6,Media,Equipamiento,29,0
100,7,Alta,Conectividad,169,1
101,7,Media,Conectividad,72,0
102,7,Alta,Latencia,183,1
103,7,Critica,Latencia,231,1
104,7,Media,Latencia,81,1
105,7,Critica,Latencia,43,1
106,7,Critica,Conectividad,187,0
107,7,Media,Latencia,26,1
108,7,Critica,Equipamiento,226,1
109,7,Media,Configuración,83,0
110,7,Alta,Configuración,130,1
111,7,Baja,Configuración,64,1
112,7,Alta,Conectividad,138,1
113,7,Baja,Seguridad,217,1
114,7,Critica,Seguridad,209,1
115,7,Baja,Seguridad,230,1
116,7,Critica,Seguridad,172,1
117,7,Alta,Latencia,167,1
118,7,Critica,Seguridad,157,1
119,7,Alta,Seguridad,143,1
120,7,Alta,Configuración,64,1
121,7,Baja,Seguridad,89,1
122,7,Critica,Seguridad,130,0
123,7,Media,Seguridad,180,1
124,7,Media,Facturación,76,1
125,7,Alta,Seguridad,77,1
126,7,Alta,Configuración,124,1
127,7,Media,Facturación,120,1
128,7,Alta,Conectividad,109,1
129,7,Media,Facturación,55,1
130,7,Alta,Latencia,125,1
131,7,Media,Facturación,118,1
132,7,Media,Conectividad,51,1
133,7,Critica,Conectividad,154,1
134,7,Alta,Equipamiento,99,0
135,7,Baja,Conectividad,217,1
136,7,Alta,Facturación,91,1
137,7,Baja,Latencia,79,1
138,7,Media,Conectividad,25,1
139,7,Alta,Facturación,56,1
140,7,Alta,Configuración,165,0
141,7,Critica,Seguridad,62,0
142,7,Critica,Facturación,153,1
143,7,Media,Seguridad,172,1
144,7,Alta,Facturación,122,0
145,7,Critica,Configuración,163,0
146,8,Baja,Conectividad,17,0
147,8,Baja,Configuración,19,0
148,8,Baja,Facturación,41,0
149,8,Media,Latencia,4,0
150,8,Baja,Configuración,3,0
151,8,Media,Equipamiento,35,0
152,9,Baja,Conectividad,31,0
153,9,Media,Latencia,15,0
154,9,Media,Seguridad,20,0
155,9,Baja,Latencia,16,0
156,9,Baja,Facturación,18,0
157,9,Alta,Seguridad,41,0
158,9,Baja,Latencia,1,0
159,9,Media,Seguridad,40,0
160,9,Media,Latencia,28,0
161,10,Media,Latencia,41,0
162,10,Media,Seguridad,26,0
163,10,Baja,Facturación,9,0
164,10,Baja,Seguridad,38,0
165,10,Baja,Facturación,3,0
166,10,Baja,Configuración,20,0
167,11,Baja,Equipamiento,5,0
168,11,Baja,Configuración,1,0
169,11,Media,Latencia,36,0
170,11,Baja,Conectividad,31,0
171,11,Baja,Latencia,47,0
172,11,Baja,Seguridad,40,0
173,11,Media,Equipamiento,46,0
174,12,Baja,Configuración,23,0
175,12,Media,Conectividad,38,0
176,12,Baja,Latencia,13,0
177,12,Media,Seguridad,42,0
178,12,Media,Configuración,25,0
179,12,Media,Conectividad,16,0
180,12,Critica,Facturación,20,0
181,12,Media,Seguridad,13,0
182,12,Media,Conectividad,12,0
183,12,Media,Conectividad,24,0
184,12,Baja,Configuración,23,0
185,12,Media,Latencia,46,0
186,12,Alta,Latencia,32,0
187,12,Baja,Facturación,37,0
188,12,Media,Facturación,33,0
189,12,Baja,Latencia,44,0
190,12,Alta,Facturación,15,0
191,12,Media,Conectividad,27,0
192,12,Media,Facturación,47,0
193,12,Media,Configuración,46,0
194,12,Baja,Configuración,14,0
195,12,Baja,Configuración,11,0
196,12,Alta,Seguridad,11,0
197,13,Baja,Facturación,39,0
198,13,Baja,Conectividad,10,0
199,13,Baja,Facturación,23,0
200,13,Media,Latencia,5,0
201,13,Baja,Latencia,18,0
202,13,Media,Facturación,25,0
203,13,Media,Facturación,23,0
204,13,Alta,Seguridad,35,0
205,13,Media,Equipamiento,41,0
206,13,Baja,Latencia,10,0
207,13,Media,Conectividad,40,0
208,13,Alta,Equipamiento,26,0
209,13,Alta,Conectividad,18,0
210,13,Media,Seguridad,46,0
211,13,Baja,Conectividad,44,1
212,13,Media,Facturación,46,0
213,13,Media,Conectividad,2,0
214,14,Media,Seguridad,45,0
215,14,Media,Configuración,28,0
216,14,Media,Seguridad,7,0
217,14,Media,Configuración,37,0
218,14,Media,Configuración,7,0
219,14,Media,Configuración,16,0
220,14,Media,Seguridad,35,0
221,14,Media,Equipamiento,27,0
222,14,Media,Configuración,32,1
223,14,Baja,Conectividad,19,0
224,15,Media,Facturación,46,1
225,15,Media,Equipamiento,18,0
226,15,Alta,Equipamiento,17,0
227,15,Media,Facturación,27,0
228,15,Media,Seguridad,1,0
229,15,Baja,Configuración,14,0
230,15,Baja,Latencia,6,0
231,15,Baja,Conectividad,33,0
232,16,Media,Facturación,6,0
233,16,Alta,Configuración,20,0
234,16,Baja,Conectividad,28,0
235,16,Baja,Facturación,35,0
236,16,Media,Equipamiento,10,0
237,16,Media,Equipamiento,5,0
238,16,Baja,Seguridad,13,0
239,16,Media,Seguridad,9,0
240,16,Baja,Latencia,39,0
241,16,Baja,Conectividad,23,0
242,16,Baja,Seguridad,26,0
243,16,Media,Latencia,44,0
244,16,Baja,Conectividad,44,0
245,16,Baja,Latencia,47,0
246,16,Media,Configuración,26,1
247,16,Media,Facturación,19,0
248,16,Baja,Seguridad,33,0
249,16,Baja,Equipamiento,43,0
250,16,Baja,Conectividad,17,0
251,16,Media,Equipamiento,47,0
252,16,Baja,Equipamiento,39,0
253,16,Baja,Configuración,19,0
254,16,Alta,Configuración,1,0
255,16,Baja,Facturación,1,0
256,17,Media,Conectividad,29,0
257,17,Media,Seguridad,40,0
258,17,Media,Latencia,23,0
259,17,Media,Latencia,1,0
260,17,Media,Configuración,4,0
261,17,Baja,Latencia,37,0
262,17,Baja,Latencia,45,0
263,17,Media,Configuración,22,0
264,17,Media,Latencia,1,0
265,17,Baja,Conectividad,8,0
